Recall,Precision_awning-tricycle,Precision_bicycle,Precision_bus,Precision_car,Precision_freight_car,Precision_motor,Precision_person,Precision_tricycle,Precision_truck,Precision_van
0.22122,0.22359,0.22609,1.00000,0.99930,0.86667,0.80624,0.92760,0.60836,0.96636,0.90476
0.22222,0.22359,0.22541,1.00000,0.99930,0.86667,0.80624,0.92716,0.60836,0.96636,0.90476
0.22322,0.22359,0.22541,1.00000,0.99930,0.86667,0.80486,0.92684,0.60000,0.96636,0.90476
0.22422,0.22359,0.22541,1.00000,0.99930,0.86667,0.80276,0.92636,0.59645,0.96636,0.90476
0.22523,0.22359,0.22541,1.00000,0.99909,0.86667,0.80276,0.92636,0.59596,0.96636,0.90476
0.22623,0.22359,0.22513,1.00000,0.99909,0.86667,0.80276,0.92634,0.59250,0.96636,0.90476
0.22723,0.22359,0.22273,1.00000,0.99909,0.86667,0.80244,0.92625,0.58765,0.96636,0.90476
0.22823,0.22359,0.22273,1.00000,0.99909,0.86667,0.80244,0.92609,0.58722,0.96636,0.90476
0.22923,0.22359,0.22206,1.00000,0.99909,0.86667,0.80157,0.92609,0.57831,0.96636,0.90476
0.23023,0.22359,0.22197,1.00000,0.99909,0.86667,0.80085,0.92543,0.56177,0.96636,0.90476
0.23123,0.22359,0.22156,1.00000,0.99893,0.86667,0.80085,0.92530,0.56148,0.96636,0.90476
0.23223,0.22359,0.22083,1.00000,0.99893,0.86667,0.80042,0.92528,0.55862,0.96636,0.90476
0.23323,0.22359,0.21733,1.00000,0.99893,0.86667,0.80000,0.92528,0.55835,0.96636,0.90476
0.23423,0.22359,0.21727,1.00000,0.99893,0.86667,0.79624,0.92496,0.55430,0.96636,0.90476
0.23524,0.22359,0.21459,1.00000,0.99893,0.86667,0.79585,0.92496,0.55157,0.96636,0.90476
0.23624,0.22359,0.20977,1.00000,0.99893,0.86667,0.79545,0.92479,0.54989,0.96636,0.90476
0.23724,0.22359,0.20676,1.00000,0.99893,0.86667,0.79289,0.92458,0.54989,0.96471,0.90476
0.23824,0.22359,0.20614,1.00000,0.99893,0.86500,0.79051,0.92389,0.54486,0.96471,0.90476
0.23924,0.22300,0.20614,1.00000,0.99893,0.86500,0.78986,0.92316,0.53503,0.96471,0.90476
0.24024,0.22300,0.20501,1.00000,0.99893,0.86500,0.78975,0.92310,0.53503,0.96471,0.90476
0.24124,0.21864,0.20501,1.00000,0.99893,0.86500,0.78975,0.92305,0.53474,0.96471,0.90476
0.24224,0.21864,0.20459,1.00000,0.99893,0.86500,0.78975,0.92261,0.53474,0.96471,0.90476
0.24324,0.21803,0.20363,1.00000,0.99893,0.86500,0.78912,0.92252,0.53459,0.96471,0.90476
0.24424,0.21803,0.20154,1.00000,0.99893,0.86207,0.78826,0.92214,0.53222,0.96471,0.90476
