Recall,Precision_pedestrian,Precision_people,Precision_bicycle,Precision_car,Precision_van,Precision_truck,Precision_tricycle,Precision_awning-tricycle,Precision_bus,Precision_motor
0.21722,0.90303,0.74125,0.24117,0.97316,0.82510,0.77251,0.57761,0.28818,0.96923,0.81317
0.21822,0.90303,0.74125,0.24079,0.97316,0.82510,0.77103,0.56683,0.28818,0.96923,0.81217
0.21922,0.90264,0.73947,0.23682,0.97316,0.82510,0.77103,0.56341,0.28818,0.96923,0.81203
0.22022,0.90227,0.73862,0.23588,0.97316,0.82386,0.76923,0.56341,0.27962,0.96923,0.81203
0.22122,0.90101,0.73862,0.23195,0.97316,0.82298,0.76923,0.55769,0.27962,0.96923,0.81171
0.22222,0.89895,0.73769,0.23022,0.97316,0.82210,0.76923,0.55213,0.27934,0.96923,0.81171
0.22322,0.89777,0.73414,0.23022,0.97316,0.81970,0.76923,0.54378,0.27934,0.96923,0.81171
0.22422,0.89707,0.73198,0.22918,0.97316,0.81734,0.76923,0.54378,0.27214,0.96923,0.81139
0.22523,0.89493,0.73198,0.22889,0.97244,0.81670,0.76923,0.54378,0.27214,0.96923,0.80956
0.22623,0.89290,0.73094,0.21988,0.97222,0.81670,0.76923,0.54233,0.27214,0.96923,0.80612
0.22723,0.89175,0.73058,0.21898,0.97203,0.81670,0.76106,0.54000,0.27214,0.96923,0.80217
0.22823,0.89094,0.72960,0.21643,0.97155,0.81588,0.76106,0.54000,0.27214,0.96923,0.80172
0.22923,0.89089,0.72761,0.21418,0.97155,0.81583,0.76106,0.54000,0.27214,0.96923,0.80086
0.23023,0.88802,0.72761,0.21336,0.97155,0.81583,0.75758,0.54000,0.27214,0.96923,0.79972
0.23123,0.88692,0.72761,0.21292,0.97155,0.81583,0.75758,0.54000,0.27214,0.96923,0.79775
0.23223,0.88534,0.72401,0.21292,0.97155,0.81583,0.75758,0.54000,0.27214,0.96923,0.79775
0.23323,0.88238,0.72185,0.21152,0.97155,0.81583,0.75758,0.53982,0.27214,0.96923,0.79750
0.23423,0.88095,0.71830,0.20972,0.97155,0.81583,0.75000,0.53846,0.27214,0.96923,0.79750
0.23524,0.87992,0.71361,0.20954,0.97155,0.81583,0.75000,0.53448,0.27214,0.96923,0.79750
0.23624,0.87710,0.71185,0.20306,0.97155,0.81583,0.74689,0.53448,0.27214,0.96923,0.79712
0.23724,0.87568,0.71045,0.20292,0.97155,0.81583,0.74689,0.53448,0.27176,0.96923,0.79712
0.23824,0.87396,0.70497,0.20078,0.97155,0.81583,0.74689,0.53319,0.27176,0.96923,0.79685
0.23924,0.87207,0.70356,0.20078,0.97155,0.81583,0.74689,0.53138,0.27176,0.96923,0.79660
0.24024,0.87060,0.70272,0.20052,0.97155,0.81538,0.74486,0.53138,0.27176,0.96923,0.79607
0.24124,0.86930,0.70272,0.19848,0.97155,0.81538,0.74486,0.53138,0.27101,0.96923,0.79396
0.24224,0.86726,0.70209,0.19848,0.97155,0.81049,0.74089,0.53138,0.27101,0.96923,0.79388
0.24324,0.86535,0.70056,0.19811,0.97155,0.80976,0.74089,0.53015,0.26971,0.96923,0.79388
0.24424,0.86192,0.70000,0.19811,0.97155,0.80936,0.73896,0.52893,0.26971,0.96923,0.79388
