                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    108,                 1.2397,                  0.885,                 1.0361,                0.56282,                0.46246,                0.48089,                0.27959,                 1.2996,                0.87103,                 1.0282,               0.001523,               0.001523,               0.001523
                    109,                 1.2323,                0.88277,                 1.0348,                0.56287,                0.46082,                 0.4812,                   0.28,                 1.2937,                0.86862,                 1.0264,              0.0015185,              0.0015185,              0.0015185
                    110,                 1.2377,                0.88139,                 1.0353,                0.55722,                0.46636,                 0.4819,                 0.2818,                 1.2803,                0.86577,                 1.0232,               0.001514,               0.001514,               0.001514
                    111,                 1.2235,                0.87062,                   1.03,                0.55349,                0.46821,                0.48291,                0.28389,                 1.2643,                0.86232,                 1.0195,              0.0015095,              0.0015095,              0.0015095
                    112,                 1.2302,                0.87411,                 1.0319,                0.55809,                0.46551,                0.48295,                 0.2845,                 1.2504,                 0.8595,                 1.0161,               0.001505,               0.001505,               0.001505
                    113,                 1.2232,                 0.8737,                  1.032,                0.56794,                0.46012,                0.48339,                 0.2856,                 1.2386,                0.85758,                 1.0134,              0.0015005,              0.0015005,              0.0015005
                    114,                 1.2296,                0.87168,                 1.0333,                0.56626,                0.46288,                0.48455,                0.28647,                 1.2322,                0.85594,                 1.0117,               0.001496,               0.001496,               0.001496
                    115,                 1.2172,                0.86601,                 1.0305,                 0.5674,                0.46405,                0.48512,                0.28756,                 1.2266,                0.85538,                 1.0104,              0.0014915,              0.0014915,              0.0014915
                    116,                   1.21,                0.85779,                 1.0245,                0.57453,                0.46058,                0.48572,                0.28833,                 1.2205,                 0.8536,                 1.0087,               0.001487,               0.001487,               0.001487
                    117,                 1.2076,                0.85246,                 1.0306,                0.57271,                0.46237,                0.48584,                 0.2888,                 1.2172,                0.85234,                 1.0074,              0.0014825,              0.0014825,              0.0014825
                    118,                 1.2058,                0.85616,                 1.0273,                0.57218,                0.46389,                0.48622,                0.28918,                 1.2137,                0.85099,                 1.0065,               0.001478,               0.001478,               0.001478
                    119,                 1.2098,                0.85278,                 1.0264,                 0.5718,                0.46391,                0.48635,                0.28944,                 1.2118,                0.85047,                 1.0058,              0.0014735,              0.0014735,              0.0014735
                    120,                  1.204,                0.85715,                 1.0257,                0.57372,                0.46261,                0.48667,                 0.2901,                 1.2096,                0.84987,                  1.005,               0.001469,               0.001469,               0.001469
                    121,                 1.2015,                0.85283,                 1.0269,                 0.5716,                0.46513,                0.48712,                0.29094,                 1.2054,                0.84864,                 1.0037,              0.0014645,              0.0014645,              0.0014645
                    122,                 1.2069,                0.85032,                 1.0258,                0.57382,                0.46598,                0.48729,                0.29111,                 1.2027,                 0.8473,                 1.0028,                0.00146,                0.00146,                0.00146
                    123,                 1.2017,                0.85395,                  1.026,                 0.5747,                0.46512,                 0.4868,                0.29144,                 1.1998,                0.84693,                 1.0021,              0.0014555,              0.0014555,              0.0014555
                    124,                  1.199,                0.84766,                  1.023,                0.57845,                0.46384,                0.48765,                0.29239,                 1.1959,                 0.8455,                 1.0013,               0.001451,               0.001451,               0.001451
                    125,                 1.2026,                0.84599,                 1.0216,                0.57669,                0.46481,                 0.4884,                0.29297,                 1.1924,                0.84447,                 1.0002,              0.0014465,              0.0014465,              0.0014465
                    126,                 1.2022,                0.84857,                 1.0248,                0.57838,                0.46362,                0.48846,                0.29338,                 1.1898,                0.84358,                0.99944,               0.001442,               0.001442,               0.001442
                    127,                 1.1986,                0.84703,                 1.0237,                0.57714,                0.46542,                0.48895,                0.29396,                 1.1865,                0.84293,                0.99861,              0.0014375,              0.0014375,              0.0014375
                    128,                  1.201,                0.84546,                 1.0212,                0.57533,                0.46691,                0.48927,                0.29429,                 1.1845,                0.84225,                0.99811,               0.001433,               0.001433,               0.001433
                    129,                 1.1864,                0.83674,                 1.0203,                 0.5772,                0.46714,                0.48918,                0.29483,                 1.1828,                0.84156,                0.99763,              0.0014285,              0.0014285,              0.0014285
                    130,                 1.1937,                 0.8374,                 1.0197,                0.57866,                0.46599,                0.48958,                0.29521,                 1.1813,                0.84143,                0.99728,               0.001424,               0.001424,               0.001424
                    131,                 1.1847,                0.83135,                 1.0167,                0.58087,                0.46717,                0.49023,                0.29561,                 1.1796,                0.84053,                0.99675,              0.0014195,              0.0014195,              0.0014195
                    132,                 1.1777,                0.82872,                 1.0169,                0.58132,                0.46801,                 0.4908,                0.29629,                 1.1786,                0.84013,                0.99633,               0.001415,               0.001415,               0.001415
                    133,                 1.1804,                0.82483,                  1.017,                0.58006,                0.46734,                0.49086,                0.29655,                 1.1773,                0.83975,                0.99584,              0.0014105,              0.0014105,              0.0014105
                    134,                 1.1886,                0.82851,                 1.0198,                0.57983,                  0.468,                0.49094,                0.29672,                 1.1759,                0.83939,                0.99551,               0.001406,               0.001406,               0.001406
                    135,                 1.1827,                0.82501,                 1.0204,                0.57989,                  0.469,                0.49161,                0.29709,                 1.1749,                  0.839,                0.99515,              0.0014015,              0.0014015,              0.0014015
                    136,                 1.1812,                0.82526,                 1.0145,                0.57992,                0.46966,                0.49178,                 0.2971,                  1.174,                 0.8387,                0.99489,               0.001397,               0.001397,               0.001397
                    137,                 1.1786,                0.82511,                 1.0178,                0.57732,                0.46979,                0.49162,                0.29702,                 1.1734,                0.83842,                0.99469,              0.0013925,              0.0013925,              0.0013925
                    138,                 1.1794,                0.82224,                 1.0145,                0.57737,                0.46918,                0.49184,                0.29721,                 1.1729,                0.83809,                0.99448,               0.001388,               0.001388,               0.001388
                    139,                 1.1759,                 0.8179,                 1.0121,                0.57927,                0.46732,                0.49192,                0.29736,                 1.1732,                0.83786,                0.99432,              0.0013835,              0.0013835,              0.0013835
                    140,                 1.1794,                0.81777,                 1.0186,                0.58024,                0.46719,                0.49218,                0.29751,                 1.1735,                0.83741,                0.99421,               0.001379,               0.001379,               0.001379
                    141,                 1.1725,                0.81844,                 1.0126,                0.58212,                 0.4666,                0.49274,                0.29784,                 1.1738,                0.83709,                0.99404,              0.0013745,              0.0013745,              0.0013745
                    142,                 1.1743,                0.81334,                 1.0137,                0.57945,                0.46678,                 0.4928,                0.29797,                 1.1728,                0.83673,                0.99376,                0.00137,                0.00137,                0.00137
                    143,                 1.1709,                0.81321,                 1.0113,                0.57672,                0.46795,                0.49318,                0.29854,                 1.1723,                0.83605,                0.99346,              0.0013655,              0.0013655,              0.0013655
                    144,                 1.1599,                0.80602,                 1.0087,                0.57399,                0.46953,                0.49328,                0.29874,                  1.173,                0.83605,                 0.9933,               0.001361,               0.001361,               0.001361
                    145,                 1.1743,                0.81261,                 1.0112,                 0.5706,                0.47304,                0.49355,                0.29904,                 1.1723,                0.83551,                 0.9931,              0.0013565,              0.0013565,              0.0013565
                    146,                 1.1729,                0.81028,                 1.0115,                0.57107,                0.47211,                0.49394,                0.29923,                 1.1725,                0.83535,                0.99312,               0.001352,               0.001352,               0.001352
                    147,                 1.1712,                0.81024,                  1.013,                0.57603,                0.46797,                0.49406,                0.29942,                 1.1727,                0.83532,                0.99309,              0.0013475,              0.0013475,              0.0013475
                    148,                 1.1614,                0.80317,                 1.0075,                0.57491,                0.46964,                0.49459,                 0.2997,                 1.1728,                0.83501,                0.99302,               0.001343,               0.001343,               0.001343
                    149,                 1.1658,                0.80338,                 1.0104,                0.57657,                0.46868,                0.49476,                0.29984,                 1.1728,                0.83506,                0.99291,              0.0013385,              0.0013385,              0.0013385
